DATE,PS_LEVEL,PS_INNOV,PS_VWF
1997/01/31,-0.016954861,0.059495494,-0.037275562
1997/02/28,0.002704978,-0.014311087,-0.035042673
1997/03/31,-0.007689106,0.017630735,0.016819668
1997/04/30,0.01668,0.019071602,0.062007304
1997/05/30,0.027222343,0.044101637,0.012118997
1997/06/30,-0.009755005,-0.004904573,0.008803104
1997/07/31,-0.007683293,0.003059181,0.029706413
1997/08/29,-0.056921287,-0.009687273,-0.011940025
1997/09/30,-0.027802411,0.03430984,-0.022247263
1997/10/31,-0.170918477,-0.109788717,-0.002549063
1997/11/28,0.023458419,0.071338391,0.050540974
1997/12/31,-0.023220232,0.028566336,0.013617951
1998/01/30,-0.043521787,-0.071143182,0.020320096
1998/02/27,-0.120430847,0.000491141,0.077162816
1998/03/31,-0.04784806,-0.008327556,-0.019002296
1998/04/30,0.040129756,0.099531424,0.01021943
1998/05/29,0.006827269,0.013491125,-0.002694254
1998/06/30,-0.055644479,-0.029435727,0.02821311
1998/07/31,-0.043691818,0.002277685,0.023273048
1998/08/31,-0.063691196,-0.00503999,-0.019525533
1998/09/30,-0.282232403,-0.271398975,0.047060683
1998/10/30,-0.044779889,0.062172418,0.002011756
1998/11/30,0.046680218,0.116760103,-0.013150842
1998/12/31,-0.153010845,-0.10630319,-0.002842236
1999/01/29,0.064080205,0.065426069,-0.002880159
1999/02/26,-0.086384224,-0.062488794,0.024066623
1999/03/31,-0.069214439,-0.003852033,-0.031390586
1999/04/30,0.201014985,0.286698733,0.10357627
1999/05/28,-0.134862606,-0.140519375,-0.006076076
1999/06/30,0.061002801,0.067164924,-0.00340903
1999/07/30,0.08139654,0.05807227,-0.009462755
1999/08/31,0.045374931,-0.017946559,-0.002956127
1999/09/30,-0.047583221,-0.069274448,-0.073760265
1999/10/29,0.102311635,0.091827867,0.1075289
1999/11/30,0.002565375,-0.036757945,-0.008733994
1999/12/31,-0.076954121,-0.085072391,-0.024883176
2000/01/31,-0.067951588,-0.045821527,0.014594939
2000/02/29,-0.037552824,-0.007694993,0.015426657
2000/03/31,-0.006335184,0.109492632,-0.002942907
2000/04/28,-0.224435495,-0.218754968,-0.044683412
2000/05/31,0.063235784,0.083651477,-0.029131743
2000/06/30,-0.182603653,-0.158804094,-0.033653669
2000/07/31,0.057190614,-0.052889342,0.11026282
2000/08/31,-0.061834166,0.026084505,-0.007035837
2000/09/29,-0.154464442,-0.142555376,-0.040840262
2000/10/31,-0.131496168,-0.004858777,0.021701702
2000/11/30,-0.158285335,-0.138467903,-0.04193612
2000/12/29,0.095334508,0.059712042,0.008563653
2001/01/31,-0.122712461,-0.030616343,0.067540935
2001/02/28,-0.050944039,-0.066987229,0.041837068
2001/03/30,-0.053645373,0.027026429,0.073220959
2001/04/30,-0.070313675,0.096695049,0.003772044
2001/05/31,0.099484051,0.114102776,0.0304345
2001/06/29,0.018690112,0.089165597,0.001335159
2001/07/31,-0.057592329,-0.010093644,0.035851726
2001/08/31,-0.059617571,0.054700327,0.046722834
2001/09/28,-0.041496419,-0.121914823,-0.10778653
2001/10/31,0.069368567,0.10124749,0.033030901
2001/11/30,0.026282715,-0.002324017,0.033999149
2001/12/31,0.011849242,0.05626503,0.068891655
2002/01/31,-0.066419565,-0.010595594,-0.013892465
2002/02/28,-0.012856435,-0.011082112,0.015348737
2002/03/28,0.06246393,0.029255349,0.091701811
2002/04/30,-0.107367425,-0.028968662,0.047418277
2002/05/31,-0.034171316,-0.044345689,0.050031502
2002/06/28,-0.116769518,-0.057977837,-0.012735504
2002/07/31,-0.049746182,0.002495845,-0.053429426
2002/08/30,-0.013149305,-0.00084275,0.006527146
2002/09/30,-0.171147419,-0.099546117,-0.010310236
2002/10/31,-0.333650677,-0.150593018,0.039375985
2002/11/29,-0.034877251,0.034671892,0.029579832
2002/12/31,-0.169024194,0.003550177,-0.014277301
2003/01/31,-0.084677556,-0.081381839,-0.01836637
2003/02/28,-0.039299129,-0.036799712,0.005164561
2003/03/31,-0.107626575,-0.067727917,0.005664333
2003/04/30,-0.048803862,-0.004478042,0.047704259
2003/05/30,0.024382949,0.019110589,0.012101086
2003/06/30,-0.01869387,-0.000164927,-0.009175534
2003/07/31,-0.033763757,0.022980673,0.067893417
2003/08/29,0.014239392,0.028875691,0.020294046
2003/09/30,-0.106193949,-0.033806867,0.016918659
2003/10/31,-0.0411309,0.003963582,0.011238186
2003/11/28,-0.031786195,-0.004474713,-0.004739359
2003/12/31,-0.019439523,0.043450734,-0.009616587
2004/01/30,-0.108785319,-0.022116272,-0.048424016
2004/02/27,-0.036686973,-0.058117513,0.024789618
2004/03/31,0.020564959,0.070132212,0.021505536
2004/04/30,-0.049906519,0.014181721,0.00264921
2004/05/28,0.002595933,-0.01631125,0.004180152
2004/06/30,0.056134789,0.108052213,0.018094499
2004/07/30,-0.032339266,-0.001969286,0.056031703
2004/08/31,-0.002744318,0.032263028,0.059837411
2004/09/30,-0.042487494,-0.009266662,0.001169579
2004/10/29,0.022974922,0.028845613,0.000999581
2004/11/30,-0.012641527,0.027142673,0.00726803
2004/12/31,-0.071768808,-0.03167631,-0.026049904
2005/01/31,-0.007271516,0.006028459,0.041861915
2005/02/28,-0.054696492,-0.003023611,0.06574018
2005/03/31,-0.019289579,0.002317764,0.003490761
2005/04/29,-0.127095004,-0.097668199,-0.051216576
2005/05/31,0.005358561,0.051011999,-0.000934702
2005/06/30,0.006927716,0.083860547,0.045337854
2005/07/29,0.044935631,0.043325197,0.018227548
2005/08/31,-0.002181612,0.015488242,0.029094886
2005/09/30,-0.025615041,-0.019207983,0.032821286
2005/10/31,-0.060997599,-0.002806211,-0.045963881
2005/11/30,0.134299948,0.104074792,0.00049047
2005/12/30,-0.034081813,-0.076643622,0.001868193
2006/01/31,-0.058893992,-0.052196551,0.053509894
2006/02/28,-0.0578029,-0.037999118,-0.012282296
2006/03/31,-0.008477862,0.035341786,0.002729586
2006/04/28,-0.065815302,0.019787272,0.003443534
2006/05/31,0.049250818,0.100231322,0.016437174
2006/06/30,-0.069041863,0.062957323,0.012982579
2006/07/31,0.034504112,0.00219838,0.035016678
2006/08/31,0.010938414,-0.04394441,-0.023835105
2006/09/29,-0.08062831,-0.046147343,0.007226566
2006/10/31,0.031528796,0.057904807,0.043495309
2006/11/30,-0.012983049,0.039182324,0.018653545
2006/12/29,0.026532237,0.023235848,-0.016380527
2007/01/31,0.042961862,0.015345991,0.015249249
2007/02/28,0.001851765,0.044743783,0.042367174
2007/03/30,-0.035340666,-0.0247062,0.01570898
2007/04/30,-0.010775547,0.009321387,0.005886188
2007/05/31,0.054002753,0.071383461,-0.018389337
2007/06/29,0.068041681,0.085592168,0.039531173
2007/07/31,-0.008293371,-0.025143922,0.001927012
2007/08/31,-0.150886601,-0.195000391,-0.012199952
2007/09/28,-0.050591141,-0.036333665,0.035095147
2007/10/31,-0.188887832,-0.043599913,0.017640191
2007/11/30,-0.155331258,-0.019052397,-0.005311546
2007/12/31,-0.025237928,0.028493385,0.014028525
2008/01/31,-0.16018,-0.05912744,-0.022170791
2008/02/29,0.08597011,-0.00996337,-0.011225542
2008/03/31,-0.288280427,-0.15141706,0.035205837
2008/04/30,0.044360462,0.132364393,0.063616584
2008/05/30,-0.002406234,-0.005575522,0.0486834
2008/06/30,-0.113807577,-0.054463698,0.043218737
2008/07/31,-0.175470704,-0.066240284,-0.052285684
2008/08/29,-0.002925564,0.023604503,-0.009833538
2008/09/30,-0.081051215,-0.228057278,-0.042645256
2008/10/31,-0.241289914,-0.068659532,-0.093271776
2008/11/28,0.06809974,0.124414884,-0.042319818
2008/12/31,-0.291188039,-0.19420581,-0.012265123
2009/01/30,-0.075238571,-0.178867311,0.214598743
2009/02/27,-0.043232579,0.023962818,0.121610146
2009/03/31,-0.096442232,-0.02983756,-0.098896375
2009/04/30,-0.094683142,-0.041589481,-0.057710598
2009/05/29,-0.06480364,0.071452781,-0.019893415
2009/06/30,-0.040568398,0.017464685,-0.02841793
2009/07/31,0.078409993,0.040058857,0.008351735
2009/08/31,-0.02573408,-0.012365699,-0.087018489
2009/09/30,0.00987809,0.06466425,0.093562031
2009/10/30,-0.059199346,-0.044843311,0.058693266
2009/11/30,-0.033577739,-0.005349368,-0.004695015
2009/12/31,0.121269065,0.000890129,0.060735415
2010/01/29,0.060334704,0.111655097,-0.031977342
2010/02/26,0.017736841,0.036034038,0.007671439
2010/03/31,0.017593677,0.029505002,-0.066457292
2010/04/30,-0.046557996,-0.035710672,-0.009060218
2010/05/28,-0.075388089,-0.020011074,-0.010297655
2010/06/30,-0.060533445,0.007005978,0.01747208
2010/07/30,-0.008156026,0.006914189,0.042479193
2010/08/31,0.014962988,0.026062411,0.070815218
2010/09/30,-0.033622125,0.081967715,0.042801578
2010/10/29,-0.044977099,-0.052505421,0.050897071
2010/11/30,-0.011322143,0.005671579,0.027750187
2010/12/31,0.021329544,0.069932018,-0.022360401
2011/01/31,-0.006814169,0.000643084,0.003791138
2011/02/28,-0.011238198,0.005464415,0.012397534
2011/03/31,-0.031568483,-0.013312776,0.032047188
2011/04/29,0.013734511,0.023854535,-0.006787302
2011/05/31,0.018601387,0.022535905,-0.010754396
2011/06/30,-0.009142154,0.027457063,-0.000804499
2011/07/29,-0.02278509,0.007147759,0.021106709
2011/08/31,-0.058787972,-0.053478127,-0.041660422
2011/09/30,0.025509042,0.047816317,-0.075372781
2011/10/31,-0.045893217,0.019831339,0.077489254
2011/11/30,-0.094249527,-0.024732771,0.027827334
2011/12/30,0.008971326,0.051232647,-0.066823605
2012/01/31,0.019608758,0.052172995,-0.025893263
2012/02/29,0.031854966,0.010272852,0.017267378
2012/03/30,-0.01879254,-0.006901136,-0.075751906
2012/04/30,0.009325308,-0.013049196,0.002574777
2012/05/31,0.08313547,-0.006492316,-0.019226898
2012/06/29,0.017918988,-0.000578618,-0.003055224
2012/07/31,0.016511631,0.101584639,0.003726118
2012/08/31,-0.041705737,-0.021639565,-0.01077309
2012/09/28,0.047356685,0.03821229,-0.006717443
2012/10/31,-0.033239538,-0.041329582,-0.005695284
2012/11/30,-0.012826181,-0.057190459,-0.002648998
2012/12/31,0.010411171,0.030391188,0.00931822
2013/01/31,0.015471782,0.028118856,-0.029854991
2013/02/28,-0.02509081,-0.01518728,-0.026716185
2013/03/28,0.02613963,0.073979482,0.024670992
2013/04/30,-0.001375901,-0.01259882,-0.038085108
2013/05/31,0.013062453,0.029259347,-0.016889858
2013/06/28,-0.003660765,0.053095839,-0.006316981
2013/07/31,-0.018957271,0.009226232,0.007636509
2013/08/30,-0.03721672,0.005424389,0.029991887
2013/09/30,-0.038984166,-0.021650198,-0.002865432
2013/10/31,0.052992788,0.096729255,-0.008105518
2013/11/29,-0.088019976,0.021670903,-0.046501171
2013/12/31,0.030374103,0.017002584,-0.006114015
2014/01/31,-0.009317937,0.019771292,0.023502203
2014/02/28,0.029548924,0.034528854,-0.009475386
2014/03/31,-0.002784404,0.024793046,0.028545737
2014/04/30,-0.007971513,-0.006586881,-0.050870858
2014/05/30,-0.074789756,-0.023761465,-0.003820331
2014/06/30,0.03957401,0.089814425,0.014120805
2014/07/31,0.032939283,0.024665313,-0.003148975
2014/08/29,-0.000214064,-0.006865407,0.0000676
2014/09/30,-0.001005778,0.001456906,0.017756628
