Date,Momentum,BXM Volatility,Mkt-RF,SMB,HML,RF,HY Credit Spread,IG Credit Spread,VIX
1996-03-31,0.0015,287.18,-0.0021,0.0116,-0.0013,0.00018999999999999998,3.51,141.3,18.879998999999998
1996-04-30,0.0013,295.53,0.0003,0.0012,0.0013,0.00022000000000000003,3.29,124.0,15.83
1996-05-31,0.0004,301.29,-0.0018,0.008199999999999999,-0.0038,0.00018999999999999998,3.16,112.8,16.07
1996-06-30,0.006,305.78,0.0072,0.011399999999999999,-0.0025,0.0002,3.3,114.9,13.68
1996-07-31,0.0019,298.76,0.0073,0.0012,-0.0040999999999999995,0.0002,3.38,109.6,19.459999
1996-08-31,0.0003,302.71,-0.0063,0.0062,0.0021,0.00018999999999999998,3.17,109.7,17.01
1996-09-30,0.0002,314.27,0.002,0.0,0.0021,0.00022000000000000003,3.04,112.7,16.950001
1996-10-31,0.0036,318.18,0.0063,0.0009,-0.0043,0.00018,3.45,119.1,18.110001
1996-11-30,0.0,327.43,0.0027,0.0023,-0.0011,0.0002,3.5,127.9,17.139999
1996-12-31,-0.0022,324.86,-0.0102,0.020499999999999997,-0.0024,0.00022000000000000003,3.04,117.2,20.92
1997-01-31,0.0022,339.0,0.0031,0.0001,-0.0034999999999999996,0.0002,2.92,116.6,19.469998999999998
1997-02-28,-0.0063,342.11,-0.0049,0.0004,0.0015,0.0002,2.71,114.8,21.1
1997-03-31,-0.0076,336.25,-0.0226,0.0066,0.0106,0.00021,3.04,105.7,22.139999
1997-04-30,-0.003,346.92,0.009300000000000001,-0.0043,-0.0044,0.0002,3.1,116.2,20.059998999999998
1997-05-31,0.0007000000000000001,352.25,0.0055000000000000005,-0.003,0.0051,0.00023,2.8,118.1,19.190001000000002
1997-06-30,-0.0024,356.84,-0.001,0.0161,-0.0068000000000000005,0.00018,2.72,118.0,21.530001000000002
1997-07-31,0.0036,371.04,0.0018,0.0008,0.0026,0.00018999999999999998,2.65,120.9,21.48
